Row,Day,Day.Of.Week,Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits,ds,y
340,Wednesday,4,2015-08-19,"3,912","2,795","2,291",504,2015-08-19,3912
341,Thursday,5,2015-08-20,"3,867","2,715","2,191",524,2015-08-20,3867
342,Friday,6,2015-08-21,"3,304","2,238","1,806",432,2015-08-21,3304
343,Saturday,7,2015-08-22,"1,685","1,208","1,011",197,2015-08-22,1685
344,Sunday,1,2015-08-23,"2,130","1,542","1,282",260,2015-08-23,2130
345,Monday,2,2015-08-24,"3,936","2,697","2,182",515,2015-08-24,3936
346,Tuesday,3,2015-08-25,"4,029","2,744","2,203",541,2015-08-25,4029
347,Wednesday,4,2015-08-26,"4,010","2,789","2,237",552,2015-08-26,4010
348,Thursday,5,2015-08-27,"4,027","2,890","2,392",498,2015-08-27,4027
349,Friday,6,2015-08-28,"2,829","2,000","1,585",415,2015-08-28,2829
350,Saturday,7,2015-08-29,"1,736","1,227","1,023",204,2015-08-29,1736
351,Sunday,1,2015-08-30,"2,517","1,686","1,416",270,2015-08-30,2517
352,Monday,2,2015-08-31,"4,029","2,769","2,299",470,2015-08-31,4029
353,Tuesday,3,2015-09-01,"4,261","2,890","2,358",532,2015-09-01,4261
354,Wednesday,4,2015-09-02,"4,058","2,923","2,442",481,2015-09-02,4058
355,Thursday,5,2015-09-03,"4,392","3,007","2,466",541,2015-09-03,4392
356,Friday,6,2015-09-04,"3,072","2,221","1,846",375,2015-09-04,3072
357,Saturday,7,2015-09-05,"1,799","1,284","1,068",216,2015-09-05,1799
358,Sunday,1,2015-09-06,"2,341","1,611","1,345",266,2015-09-06,2341
359,Monday,2,2015-09-07,"3,330","2,354","1,963",391,2015-09-07,3330
360,Tuesday,3,2015-09-08,"4,734","3,381","2,833",548,2015-09-08,4734
361,Wednesday,4,2015-09-09,"4,801","3,381","2,845",536,2015-09-09,4801
362,Thursday,5,2015-09-10,"4,399","3,079","2,575",504,2015-09-10,4399
363,Friday,6,2015-09-11,"3,275","2,375","1,958",417,2015-09-11,3275
364,Saturday,7,2015-09-12,"2,042","1,429","1,223",206,2015-09-12,2042
365,Sunday,1,2015-09-13,"2,827","2,103","1,844",259,2015-09-13,2827
366,Monday,2,2015-09-14,"4,836","3,437","2,954",483,2015-09-14,4836
367,Tuesday,3,2015-09-15,"4,840","3,465","2,944",521,2015-09-15,4840
368,Wednesday,4,2015-09-16,"4,504","3,356","2,902",454,2015-09-16,4504
369,Thursday,5,2015-09-17,"4,379","3,240","2,736",504,2015-09-17,4379
370,Friday,6,2015-09-18,"3,391","2,428","2,024",404,2015-09-18,3391
371,Saturday,7,2015-09-19,"2,045","1,513","1,278",235,2015-09-19,2045
372,Sunday,1,2015-09-20,"2,721","2,081","1,817",264,2015-09-20,2721
373,Monday,2,2015-09-21,"4,630","3,535","2,998",537,2015-09-21,4630
374,Tuesday,3,2015-09-22,"4,748","3,540","3,004",536,2015-09-22,4748
375,Wednesday,4,2015-09-23,"4,702","3,377","2,893",484,2015-09-23,4702
376,Thursday,5,2015-09-24,"4,440","3,309","2,827",482,2015-09-24,4440
377,Friday,6,2015-09-25,"3,513","2,518","2,116",402,2015-09-25,3513
378,Saturday,7,2015-09-26,"2,253","1,633","1,395",238,2015-09-26,2253
379,Sunday,1,2015-09-27,"3,141","2,291","1,980",311,2015-09-27,3141
380,Monday,2,2015-09-28,"5,122","3,808","3,289",519,2015-09-28,5122
381,Tuesday,3,2015-09-29,"5,151","3,868","3,305",563,2015-09-29,5151
382,Wednesday,4,2015-09-30,"4,969","3,703","3,182",521,2015-09-30,4969
383,Thursday,5,2015-10-01,"4,619","3,365","2,876",489,2015-10-01,4619
384,Friday,6,2015-10-02,"3,443","2,598","2,196",402,2015-10-02,3443
385,Saturday,7,2015-10-03,"2,302","1,754","1,503",251,2015-10-03,2302
386,Sunday,1,2015-10-04,"3,291","2,506","2,173",333,2015-10-04,3291
387,Monday,2,2015-10-05,"5,206","3,737","3,170",567,2015-10-05,5206
388,Tuesday,3,2015-10-06,"5,474","3,940","3,337",603,2015-10-06,5474
389,Wednesday,4,2015-10-07,"5,400","3,934","3,350",584,2015-10-07,5400
390,Thursday,5,2015-10-08,"5,334","3,821","3,244",577,2015-10-08,5334
391,Friday,6,2015-10-09,"4,174","3,022","2,547",475,2015-10-09,4174
392,Saturday,7,2015-10-10,"2,571","1,853","1,597",256,2015-10-10,2571
393,Sunday,1,2015-10-11,"3,572","2,636","2,283",353,2015-10-11,3572
394,Monday,2,2015-10-12,"5,018","3,788","3,241",547,2015-10-12,5018
395,Tuesday,3,2015-10-13,"5,565","4,159","3,536",623,2015-10-13,5565
396,Wednesday,4,2015-10-14,"5,420","4,048","3,403",645,2015-10-14,5420
397,Thursday,5,2015-10-15,"5,366","3,908","3,331",577,2015-10-15,5366
398,Friday,6,2015-10-16,"4,091","3,002","2,507",495,2015-10-16,4091
399,Saturday,7,2015-10-17,"2,824","2,087","1,770",317,2015-10-17,2824
400,Sunday,1,2015-10-18,"3,843","2,825","2,441",384,2015-10-18,3843
401,Monday,2,2015-10-19,"5,516","4,140","3,491",649,2015-10-19,5516
402,Tuesday,3,2015-10-20,"5,572","4,121","3,460",661,2015-10-20,5572
403,Wednesday,4,2015-10-21,"5,243","3,882","3,298",584,2015-10-21,5243
404,Thursday,5,2015-10-22,"5,133","3,720","3,104",616,2015-10-22,5133
405,Friday,6,2015-10-23,"4,084","2,947","2,441",506,2015-10-23,4084
406,Saturday,7,2015-10-24,"2,739","1,978","1,647",331,2015-10-24,2739
407,Sunday,1,2015-10-25,"3,781","2,857","2,435",422,2015-10-25,3781
408,Monday,2,2015-10-26,"5,684","4,073","3,417",656,2015-10-26,5684
409,Tuesday,3,2015-10-27,"5,687","4,179","3,534",645,2015-10-27,5687
410,Wednesday,4,2015-10-28,"5,906","4,266","3,614",652,2015-10-28,5906
411,Thursday,5,2015-10-29,"5,541","4,020","3,368",652,2015-10-29,5541
412,Friday,6,2015-10-30,"4,171","3,043","2,501",542,2015-10-30,4171
413,Saturday,7,2015-10-31,"2,586","1,820","1,496",324,2015-10-31,2586
414,Sunday,1,2015-11-01,"3,838","2,922","2,456",466,2015-11-01,3838
415,Monday,2,2015-11-02,"5,675","4,076","3,419",657,2015-11-02,5675
416,Tuesday,3,2015-11-03,"5,624","4,178","3,504",674,2015-11-03,5624
417,Wednesday,4,2015-11-04,"5,794","4,316","3,670",646,2015-11-04,5794
418,Thursday,5,2015-11-05,"5,389","4,031","3,379",652,2015-11-05,5389
419,Friday,6,2015-11-06,"4,305","3,047","2,522",525,2015-11-06,4305
420,Saturday,7,2015-11-07,"3,281","2,202","1,854",348,2015-11-07,3281
421,Sunday,1,2015-11-08,"3,790","2,837","2,418",419,2015-11-08,3790
422,Monday,2,2015-11-09,"5,894","4,203","3,487",716,2015-11-09,5894
423,Tuesday,3,2015-11-10,"5,461","4,048","3,388",660,2015-11-10,5461
424,Wednesday,4,2015-11-11,"5,206","3,869","3,219",650,2015-11-11,5206
425,Thursday,5,2015-11-12,"5,228","3,929","3,281",648,2015-11-12,5228
426,Friday,6,2015-11-13,"4,097","2,971","2,436",535,2015-11-13,4097
427,Saturday,7,2015-11-14,"2,694","1,964","1,616",348,2015-11-14,2694
428,Sunday,1,2015-11-15,"3,893","2,930","2,483",447,2015-11-15,3893
429,Monday,2,2015-11-16,"6,185","4,550","3,872",678,2015-11-16,6185
430,Tuesday,3,2015-11-17,"6,178","4,503","3,795",708,2015-11-17,6178
431,Wednesday,4,2015-11-18,"6,067","4,397","3,693",704,2015-11-18,6067
432,Thursday,5,2015-11-19,"5,656","4,166","3,487",679,2015-11-19,5656
433,Friday,6,2015-11-20,"4,398","3,173","2,645",528,2015-11-20,4398
434,Saturday,7,2015-11-21,"2,836","2,086","1,741",345,2015-11-21,2836
435,Sunday,1,2015-11-22,"3,896","2,927","2,424",503,2015-11-22,3896
436,Monday,2,2015-11-23,"5,814","4,236","3,543",693,2015-11-23,5814
437,Tuesday,3,2015-11-24,"5,879","4,140","3,475",665,2015-11-24,5879
438,Wednesday,4,2015-11-25,"4,800","3,457","2,836",621,2015-11-25,4800
439,Thursday,5,2015-11-26,"3,838","2,825","2,334",491,2015-11-26,3838
440,Friday,6,2015-11-27,"3,576","2,579","2,118",461,2015-11-27,3576
441,Saturday,7,2015-11-28,"2,799","1,974","1,652",322,2015-11-28,2799
442,Sunday,1,2015-11-29,"4,228","3,127","2,605",522,2015-11-29,4228
443,Monday,2,2015-11-30,"6,331","4,570","3,817",753,2015-11-30,6331
444,Tuesday,3,2015-12-01,"6,380","4,743","4,027",716,2015-12-01,6380
445,Wednesday,4,2015-12-02,"6,314","4,829","4,039",790,2015-12-02,6314
446,Thursday,5,2015-12-03,"6,160","4,584","3,835",749,2015-12-03,6160
447,Friday,6,2015-12-04,"4,859","3,615","2,995",620,2015-12-04,4859
448,Saturday,7,2015-12-05,"3,317","2,468","2,040",428,2015-12-05,3317
449,Sunday,1,2015-12-06,"4,715","3,550","2,972",578,2015-12-06,4715
450,Monday,2,2015-12-07,"6,940","5,136","4,303",833,2015-12-07,6940
451,Tuesday,3,2015-12-08,"6,551","4,866","4,068",798,2015-12-08,6551
452,Wednesday,4,2015-12-09,"6,327","4,761","3,961",800,2015-12-09,6327
453,Thursday,5,2015-12-10,"6,212","4,578","3,830",748,2015-12-10,6212
454,Friday,6,2015-12-11,"4,687","3,388","2,771",617,2015-12-11,4687
455,Saturday,7,2015-12-12,"3,014","2,283","1,856",427,2015-12-12,3014
456,Sunday,1,2015-12-13,"4,132","3,064","2,548",516,2015-12-13,4132
457,Monday,2,2015-12-14,"5,989","4,330","3,606",724,2015-12-14,5989
458,Tuesday,3,2015-12-15,"5,331","3,967","3,309",658,2015-12-15,5331
459,Wednesday,4,2015-12-16,"5,183","3,665","3,025",640,2015-12-16,5183
460,Thursday,5,2015-12-17,"4,769","3,515","2,917",598,2015-12-17,4769
461,Friday,6,2015-12-18,"3,627","2,518","2,071",447,2015-12-18,3627
462,Saturday,7,2015-12-19,"1,857","1,319","1,087",232,2015-12-19,1857
463,Sunday,1,2015-12-20,"2,221","1,489","1,204",285,2015-12-20,2221
464,Monday,2,2015-12-21,"3,335","2,335","1,906",429,2015-12-21,3335
465,Tuesday,3,2015-12-22,"2,883","2,047","1,639",408,2015-12-22,2883
466,Wednesday,4,2015-12-23,"2,353","1,621","1,312",309,2015-12-23,2353
467,Thursday,5,2015-12-24,"1,578","1,099",886,213,2015-12-24,1578
468,Friday,6,2015-12-25,"1,017",724,586,138,2015-12-25,1017
469,Saturday,7,2015-12-26,"1,334",936,760,176,2015-12-26,1334
470,Sunday,1,2015-12-27,"1,690","1,155",947,208,2015-12-27,1690
471,Monday,2,2015-12-28,"2,838","1,829","1,474",355,2015-12-28,2838
472,Tuesday,3,2015-12-29,"2,815","1,786","1,419",367,2015-12-29,2815
473,Wednesday,4,2015-12-30,"2,382","1,618","1,292",326,2015-12-30,2382
474,Thursday,5,2015-12-31,"1,587","1,035",809,226,2015-12-31,1587
475,Friday,6,2016-01-01,"1,411",960,786,174,2016-01-01,1411
476,Saturday,7,2016-01-02,"1,838","1,197",969,228,2016-01-02,1838
477,Sunday,1,2016-01-03,"2,180","1,562","1,279",283,2016-01-03,2180
478,Monday,2,2016-01-04,"3,587","2,494","2,037",457,2016-01-04,3587
479,Tuesday,3,2016-01-05,"3,855","2,742","2,230",512,2016-01-05,3855
480,Wednesday,4,2016-01-06,"3,840","2,628","2,127",501,2016-01-06,3840
481,Thursday,5,2016-01-07,"3,735","2,746","2,258",488,2016-01-07,3735
482,Friday,6,2016-01-08,"3,223","2,286","1,860",426,2016-01-08,3223
483,Saturday,7,2016-01-09,"2,207","1,531","1,280",251,2016-01-09,2207
484,Sunday,1,2016-01-10,"2,814","2,000","1,661",339,2016-01-10,2814
485,Monday,2,2016-01-11,"4,007","2,976","2,444",532,2016-01-11,4007
486,Tuesday,3,2016-01-12,"4,119","2,961","2,385",576,2016-01-12,4119
487,Wednesday,4,2016-01-13,"4,338","3,164","2,631",533,2016-01-13,4338
488,Thursday,5,2016-01-14,"4,432","2,962","2,418",544,2016-01-14,4432
489,Friday,6,2016-01-15,"3,306","2,349","1,866",483,2016-01-15,3306
490,Saturday,7,2016-01-16,"2,223","1,557","1,262",295,2016-01-16,2223
491,Sunday,1,2016-01-17,"2,757","2,002","1,635",367,2016-01-17,2757
492,Monday,2,2016-01-18,"4,047","2,898","2,373",525,2016-01-18,4047
493,Tuesday,3,2016-01-19,"4,489","3,190","2,566",624,2016-01-19,4489
494,Wednesday,4,2016-01-20,"4,588","3,232","2,656",576,2016-01-20,4588
495,Thursday,5,2016-01-21,"4,398","3,106","2,561",545,2016-01-21,4398
496,Friday,6,2016-01-22,"3,340","2,455","1,990",465,2016-01-22,3340
497,Saturday,7,2016-01-23,"2,344","1,639","1,338",301,2016-01-23,2344
498,Sunday,1,2016-01-24,"2,973","2,094","1,736",358,2016-01-24,2973
499,Monday,2,2016-01-25,"4,638","3,205","2,649",556,2016-01-25,4638
500,Tuesday,3,2016-01-26,"4,791","3,409","2,834",575,2016-01-26,4791
501,Wednesday,4,2016-01-27,"5,104","3,768","3,197",571,2016-01-27,5104
502,Thursday,5,2016-01-28,"4,621","3,439","2,876",563,2016-01-28,4621
503,Friday,6,2016-01-29,"3,831","2,715","2,232",483,2016-01-29,3831
504,Saturday,7,2016-01-30,"2,295","1,690","1,400",290,2016-01-30,2295
505,Sunday,1,2016-01-31,"3,235","2,462","2,050",412,2016-01-31,3235
506,Monday,2,2016-02-01,"4,918","3,640","3,060",580,2016-02-01,4918
507,Tuesday,3,2016-02-02,"5,127","3,783","3,195",588,2016-02-02,5127
508,Wednesday,4,2016-02-03,"4,794","3,575","2,999",576,2016-02-03,4794
509,Thursday,5,2016-02-04,"4,788","3,420","2,848",572,2016-02-04,4788
510,Friday,6,2016-02-05,"3,948","2,727","2,256",471,2016-02-05,3948
511,Saturday,7,2016-02-06,"2,383","1,765","1,477",288,2016-02-06,2383
512,Sunday,1,2016-02-07,"2,950","2,231","1,839",392,2016-02-07,2950
513,Monday,2,2016-02-08,"4,905","3,592","3,024",568,2016-02-08,4905
514,Tuesday,3,2016-02-09,"5,353","3,931","3,299",632,2016-02-09,5353
515,Wednesday,4,2016-02-10,"5,492","4,007","3,358",649,2016-02-10,5492
516,Thursday,5,2016-02-11,"5,052","3,628","3,019",609,2016-02-11,5052
517,Friday,6,2016-02-12,"3,764","2,807","2,300",507,2016-02-12,3764
518,Saturday,7,2016-02-13,"2,458","1,788","1,459",329,2016-02-13,2458
519,Sunday,1,2016-02-14,"3,098","2,277","1,866",411,2016-02-14,3098
520,Monday,2,2016-02-15,"4,951","3,652","3,039",613,2016-02-15,4951
521,Tuesday,3,2016-02-16,"5,495","4,000","3,304",696,2016-02-16,5495
522,Wednesday,4,2016-02-17,"5,505","4,062","3,375",687,2016-02-17,5505
523,Thursday,5,2016-02-18,"5,188","3,812","3,156",656,2016-02-18,5188
524,Friday,6,2016-02-19,"4,002","2,932","2,377",555,2016-02-19,4002
525,Saturday,7,2016-02-20,"2,607","1,888","1,537",351,2016-02-20,2607
526,Sunday,1,2016-02-21,"3,906","2,838","2,355",483,2016-02-21,3906
527,Monday,2,2016-02-22,"6,360","4,432","3,684",748,2016-02-22,6360
528,Tuesday,3,2016-02-23,"6,046","4,460","3,714",746,2016-02-23,6046
529,Wednesday,4,2016-02-24,"5,938","4,309","3,499",810,2016-02-24,5938
530,Thursday,5,2016-02-25,"5,325","3,892","3,199",693,2016-02-25,5325
531,Friday,6,2016-02-26,"4,165","3,048","2,490",558,2016-02-26,4165
532,Saturday,7,2016-02-27,"2,829","2,096","1,726",370,2016-02-27,2829
533,Sunday,1,2016-02-28,"4,090","2,979","2,462",517,2016-02-28,4090
534,Monday,2,2016-02-29,"5,734","4,224","3,493",731,2016-02-29,5734
535,Tuesday,3,2016-03-01,"6,214","4,474","3,731",743,2016-03-01,6214
536,Wednesday,4,2016-03-02,"5,906","4,333","3,597",736,2016-03-02,5906
537,Thursday,5,2016-03-03,"5,814","4,191","3,419",772,2016-03-03,5814
538,Friday,6,2016-03-04,"4,507","3,188","2,624",564,2016-03-04,4507
539,Saturday,7,2016-03-05,"2,859","2,064","1,718",346,2016-03-05,2859
540,Sunday,1,2016-03-06,"3,897","2,806","2,326",480,2016-03-06,3897
541,Monday,2,2016-03-07,"5,849","4,240","3,503",737,2016-03-07,5849
542,Tuesday,3,2016-03-08,"6,264","4,526","3,743",783,2016-03-08,6264
543,Wednesday,4,2016-03-09,"6,062","4,404","3,624",780,2016-03-09,6062
544,Thursday,5,2016-03-10,"5,685","4,159","3,415",744,2016-03-10,5685
545,Friday,6,2016-03-11,"4,391","3,241","2,627",614,2016-03-11,4391
546,Saturday,7,2016-03-12,"2,880","2,046","1,638",408,2016-03-12,2880
547,Sunday,1,2016-03-13,"3,740","2,673","2,163",510,2016-03-13,3740
548,Monday,2,2016-03-14,"5,710","4,261","3,469",792,2016-03-14,5710
549,Tuesday,3,2016-03-15,"5,168","3,778","3,047",731,2016-03-15,5168
550,Wednesday,4,2016-03-16,"5,577","4,062","3,287",775,2016-03-16,5577
551,Thursday,5,2016-03-17,"5,238","3,827","3,134",693,2016-03-17,5238
552,Friday,6,2016-03-18,"3,931","2,871","2,320",551,2016-03-18,3931
553,Saturday,7,2016-03-19,"2,606","1,892","1,568",324,2016-03-19,2606
554,Sunday,1,2016-03-20,"3,149","2,410","2,028",382,2016-03-20,3149
555,Monday,2,2016-03-21,"5,565","3,968","3,274",694,2016-03-21,5565
556,Tuesday,3,2016-03-22,"5,281","3,770","3,035",735,2016-03-22,5281
557,Wednesday,4,2016-03-23,"5,202","3,780","3,146",634,2016-03-23,5202
558,Thursday,5,2016-03-24,"4,581","3,203","2,649",554,2016-03-24,4581
559,Friday,6,2016-03-25,"3,264","2,281","1,847",434,2016-03-25,3264
560,Saturday,7,2016-03-26,"2,344","1,759","1,393",366,2016-03-26,2344
561,Sunday,1,2016-03-27,"3,112","2,311","1,890",421,2016-03-27,3112
562,Monday,2,2016-03-28,"5,051","3,655","2,985",670,2016-03-28,5051
563,Tuesday,3,2016-03-29,"5,333","3,944","3,217",727,2016-03-29,5333
564,Wednesday,4,2016-03-30,"5,671","4,078","3,369",709,2016-03-30,5671
565,Thursday,5,2016-03-31,"5,097","3,707","3,026",681,2016-03-31,5097
566,Friday,6,2016-04-01,"4,555","2,971","2,408",563,2016-04-01,4555
567,Saturday,7,2016-04-02,"2,987","2,129","1,737",392,2016-04-02,2987
568,Sunday,1,2016-04-03,"4,257","2,964","2,421",543,2016-04-03,4257
569,Monday,2,2016-04-04,"5,804","4,216","3,426",790,2016-04-04,5804
570,Tuesday,3,2016-04-05,"5,885","4,379","3,597",782,2016-04-05,5885
571,Wednesday,4,2016-04-06,"6,054","4,293","3,522",771,2016-04-06,6054
572,Thursday,5,2016-04-07,"5,791","4,147","3,422",725,2016-04-07,5791
573,Friday,6,2016-04-08,"4,741","3,430","2,820",610,2016-04-08,4741
574,Saturday,7,2016-04-09,"2,946","2,140","1,740",400,2016-04-09,2946
575,Sunday,1,2016-04-10,"4,071","2,864","2,330",534,2016-04-10,4071
576,Monday,2,2016-04-11,"6,265","4,503","3,667",836,2016-04-11,6265
577,Tuesday,3,2016-04-12,"6,298","4,626","3,769",857,2016-04-12,6298
578,Wednesday,4,2016-04-13,"6,495","4,628","3,791",837,2016-04-13,6495
579,Thursday,5,2016-04-14,"5,536","4,189","3,431",758,2016-04-14,5536
580,Friday,6,2016-04-15,"4,737","3,447","2,785",662,2016-04-15,4737
581,Saturday,7,2016-04-16,"3,232","2,333","1,862",471,2016-04-16,3232
582,Sunday,1,2016-04-17,"4,201","3,093","2,504",589,2016-04-17,4201
583,Monday,2,2016-04-18,"6,806","4,769","3,920",849,2016-04-18,6806
584,Tuesday,3,2016-04-19,"6,769","4,817","3,940",877,2016-04-19,6769
585,Wednesday,4,2016-04-20,"6,581","4,824","3,926",898,2016-04-20,6581
586,Thursday,5,2016-04-21,"6,254","4,537","3,707",830,2016-04-21,6254
587,Friday,6,2016-04-22,"5,163","3,685","3,009",676,2016-04-22,5163
588,Saturday,7,2016-04-23,"3,851","2,595","2,113",482,2016-04-23,3851
589,Sunday,1,2016-04-24,"4,695","3,386","2,761",625,2016-04-24,4695
590,Monday,2,2016-04-25,"7,098","5,224","4,237",987,2016-04-25,7098
591,Tuesday,3,2016-04-26,"7,156","5,392","4,468",924,2016-04-26,7156
592,Wednesday,4,2016-04-27,"6,836","5,056","4,130",926,2016-04-27,6836
593,Thursday,5,2016-04-28,"6,329","4,724","3,892",832,2016-04-28,6329
594,Friday,6,2016-04-29,"4,990","3,608","2,922",686,2016-04-29,4990
595,Saturday,7,2016-04-30,"3,536","2,489","1,993",496,2016-04-30,3536
596,Sunday,1,2016-05-01,"4,366","3,236","2,605",631,2016-05-01,4366
597,Monday,2,2016-05-02,"6,510","4,786","3,909",877,2016-05-02,6510
598,Tuesday,3,2016-05-03,"6,855","4,962","4,085",877,2016-05-03,6855
599,Wednesday,4,2016-05-04,"6,599","4,651","3,744",907,2016-05-04,6599
600,Thursday,5,2016-05-05,"5,510","4,105","3,375",730,2016-05-05,5510
601,Friday,6,2016-05-06,"4,549","3,245","2,639",606,2016-05-06,4549
602,Saturday,7,2016-05-07,"3,064","2,167","1,760",407,2016-05-07,3064
603,Sunday,1,2016-05-08,"3,633","2,663","2,180",483,2016-05-08,3633
604,Monday,2,2016-05-09,"5,838","4,283","3,489",794,2016-05-09,5838
605,Tuesday,3,2016-05-10,"6,026","4,336","3,581",755,2016-05-10,6026
606,Wednesday,4,2016-05-11,"5,780","4,226","3,479",747,2016-05-11,5780
607,Thursday,5,2016-05-12,"5,131","3,781","3,101",680,2016-05-12,5131
608,Friday,6,2016-05-13,"3,928","2,845","2,294",551,2016-05-13,3928
609,Saturday,7,2016-05-14,"2,636","1,930","1,552",378,2016-05-14,2636
610,Sunday,1,2016-05-15,"3,278","2,366","1,922",444,2016-05-15,3278
611,Monday,2,2016-05-16,"4,785","3,560","2,882",678,2016-05-16,4785
612,Tuesday,3,2016-05-17,"4,886","3,601","2,914",687,2016-05-17,4886
613,Wednesday,4,2016-05-18,"5,145","3,672","2,987",685,2016-05-18,5145
614,Thursday,5,2016-05-19,"5,849","4,211","3,484",727,2016-05-19,5849
615,Friday,6,2016-05-20,"4,456","3,324","2,725",599,2016-05-20,4456
616,Saturday,7,2016-05-21,"2,960","2,138","1,716",422,2016-05-21,2960
617,Sunday,1,2016-05-22,"3,885","2,860","2,338",522,2016-05-22,3885
618,Monday,2,2016-05-23,"5,857","4,155","3,368",787,2016-05-23,5857
619,Tuesday,3,2016-05-24,"6,162","4,345","3,526",819,2016-05-24,6162
620,Wednesday,4,2016-05-25,"6,014","4,254","3,398",856,2016-05-25,6014
621,Thursday,5,2016-05-26,"5,652","4,119","3,385",734,2016-05-26,5652
622,Friday,6,2016-05-27,"4,793","3,340","2,692",648,2016-05-27,4793
623,Saturday,7,2016-05-28,"2,819","1,995","1,611",384,2016-05-28,2819
624,Sunday,1,2016-05-29,"3,687","2,546","2,067",479,2016-05-29,3687
625,Monday,2,2016-05-30,"4,851","3,399","2,701",698,2016-05-30,4851
626,Tuesday,3,2016-05-31,"5,775","4,216","3,413",803,2016-05-31,5775
627,Wednesday,4,2016-06-01,"5,443","3,962","3,193",769,2016-06-01,5443
628,Thursday,5,2016-06-02,"5,590","3,959","3,176",783,2016-06-02,5590
629,Friday,6,2016-06-03,"4,482","3,164","2,489",675,2016-06-03,4482
630,Saturday,7,2016-06-04,"2,792","1,947","1,533",414,2016-06-04,2792
631,Sunday,1,2016-06-05,"3,371","2,449","1,979",470,2016-06-05,3371
632,Monday,2,2016-06-06,"5,547","3,832","3,036",796,2016-06-06,5547
633,Tuesday,3,2016-06-07,"5,468","3,954","3,226",728,2016-06-07,5468
634,Wednesday,4,2016-06-08,"5,104","3,751","3,064",687,2016-06-08,5104
635,Thursday,5,2016-06-09,"4,728","3,485","2,812",673,2016-06-09,4728
636,Friday,6,2016-06-10,"4,024","2,855","2,290",565,2016-06-10,4024
637,Saturday,7,2016-06-11,"2,350","1,677","1,348",329,2016-06-11,2350
638,Sunday,1,2016-06-12,"3,234","2,196","1,779",417,2016-06-12,3234
639,Monday,2,2016-06-13,"4,948","3,550","2,790",760,2016-06-13,4948
640,Tuesday,3,2016-06-14,"5,247","3,760","3,052",708,2016-06-14,5247
641,Wednesday,4,2016-06-15,"5,003","3,557","2,810",747,2016-06-15,5003
642,Thursday,5,2016-06-16,"4,816","3,482","2,775",707,2016-06-16,4816
643,Friday,6,2016-06-17,"4,208","2,818","2,267",551,2016-06-17,4208
644,Saturday,7,2016-06-18,"2,454","1,668","1,357",311,2016-06-18,2454
645,Sunday,1,2016-06-19,"2,763","1,919","1,506",413,2016-06-19,2763
646,Monday,2,2016-06-20,"4,954","3,522","2,829",693,2016-06-20,4954
647,Tuesday,3,2016-06-21,"4,903","3,470","2,793",677,2016-06-21,4903
648,Wednesday,4,2016-06-22,"4,907","3,464","2,772",692,2016-06-22,4907
649,Thursday,5,2016-06-23,"4,625","3,336","2,669",667,2016-06-23,4625
650,Friday,6,2016-06-24,"3,497","2,482","1,947",535,2016-06-24,3497
651,Saturday,7,2016-06-25,"1,826","1,358","1,101",257,2016-06-25,1826
652,Sunday,1,2016-06-26,"2,307","1,721","1,356",365,2016-06-26,2307
653,Monday,2,2016-06-27,"4,368","3,078","2,433",645,2016-06-27,4368
654,Tuesday,3,2016-06-28,"4,233","3,091","2,466",625,2016-06-28,4233
655,Wednesday,4,2016-06-29,"4,187","2,948","2,377",571,2016-06-29,4187
656,Thursday,5,2016-06-30,"3,811","2,726","2,135",591,2016-06-30,3811
657,Friday,6,2016-07-01,"3,179","2,226","1,730",496,2016-07-01,3179
658,Saturday,7,2016-07-02,"1,615","1,039",814,225,2016-07-02,1615
659,Sunday,1,2016-07-03,"1,788","1,307","1,028",279,2016-07-03,1788
660,Monday,2,2016-07-04,"2,959","2,144","1,653",491,2016-07-04,2959
661,Tuesday,3,2016-07-05,"3,947","2,840","2,235",605,2016-07-05,3947
662,Wednesday,4,2016-07-06,"3,841","2,821","2,248",573,2016-07-06,3841
663,Thursday,5,2016-07-07,"3,729","2,700","2,148",552,2016-07-07,3729
664,Friday,6,2016-07-08,"3,324","2,381","1,891",490,2016-07-08,3324
665,Saturday,7,2016-07-09,"1,795","1,305","1,036",269,2016-07-09,1795
666,Sunday,1,2016-07-10,"2,373","1,655","1,321",334,2016-07-10,2373
667,Monday,2,2016-07-11,"4,101","2,855","2,208",647,2016-07-11,4101
668,Tuesday,3,2016-07-12,"4,241","2,960","2,352",608,2016-07-12,4241
669,Wednesday,4,2016-07-13,"4,478","3,189","2,578",611,2016-07-13,4478
670,Thursday,5,2016-07-14,"3,961","2,814","2,214",600,2016-07-14,3961
671,Friday,6,2016-07-15,"3,367","2,325","1,796",529,2016-07-15,3367
672,Saturday,7,2016-07-16,"1,828","1,222",951,271,2016-07-16,1828
673,Sunday,1,2016-07-17,"2,344","1,636","1,319",317,2016-07-17,2344
674,Monday,2,2016-07-18,"4,415","3,007","2,382",625,2016-07-18,4415
675,Tuesday,3,2016-07-19,"4,403","3,151","2,502",649,2016-07-19,4403
676,Wednesday,4,2016-07-20,"4,244","3,082","2,450",632,2016-07-20,4244
677,Thursday,5,2016-07-21,"4,322","3,077","2,404",673,2016-07-21,4322
678,Friday,6,2016-07-22,"3,456","2,431","1,936",495,2016-07-22,3456
679,Saturday,7,2016-07-23,"2,068","1,407","1,099",308,2016-07-23,2068
